card_name,cardColorList,Text,text_corpus,book,chapter
"Boromir, Warden of the Tower",W,"“Farewell, Aragorn! Go to Minas Tirith and save my people!”",farewell aragorn go to minas tirith and save my people,tt,tt1
Dúnedain Blade,W,The sword glinted in the westering sun.,the sword glinted in the westering sun,rk,rk18
East-Mark Cavalier,W,"“The Rohirrim have long been the friends of the people of Gondor, though they are not akin to them.”
—Aragorn",the rohirrim have long been the friends of the people of gondor though they are not akin to them ,tt,tt2
Errand-Rider of Gondor,W,"“Gondor is in great need. Lord Denethor asks for all your strength and all your speed, lest Gondor fall at last.”",gondor is in great need lord denethor asks for all your strength and all your speed lest gondor fall at last,rk,rk3
Escape from Orthanc,W,"“How far can you bear me?” asked Gandalf.
“Many leagues,” said Gwaihir, “but not to the ends of the earth. I was sent to bear tidings, not burdens.”",how far can you bear me asked gandalf many leagues said gwaihir but not to the ends of the earth i was sent to bear tidings not burdens,fs,fs18
Esquire of the King,W,"“Where now the horse and the rider?
Where is the horn that was blowing?
Where is the helm and the hauberk,
and the bright hair flowing?”
—Lament for the Rohirrim",where now the horse and the rider where is the horn that was blowing where is the helm and the hauberk and the bright hair flowing ,tt,tt6
"Faramir, Field Commander",W,"“A chance for Faramir, Captain of Gondor, to show his quality.”",a chance for faramir captain of gondor to show his quality,tt,tt16
Flowering of the White Tree,W,"Aragorn planted the new tree in the court by the fountain, and swiftly and gladly it began to grow.",aragorn planted the new tree in the court by the fountain and swiftly and gladly it began to grow,rk,rk15
Fog on the Barrow-Downs,W,"“Cold be hand and heart and bone,
and cold be sleep under stone:
never more to wake on stony bed,
never, till the Sun fails and the Moon is dead.”",cold be hand and heart and bone and cold be sleep under stone never more to wake on stony bed never till the sun fails and the moon is dead,fs,fs12
Hobbit's Sting,W,"“One for the Shire!” cried Aragorn. “The Hobbit’s bite is deep! You have a good blade, Frodo son of Drogo!”",one for the shire cried aragorn the hobbit’s bite is deep you have a good blade frodo son of drogo,fs,fs21
Lost to Legend,W,"“In the days of Isildur, the Ruling Ring passed out of all knowledge.”
—Elrond",in the days of isildur the ruling ring passed out of all knowledge ,fs,fs18
"Now for Wrath, Now for Ruin!",W,The Captains of the West came at last to challenge the Black Gate and the might of Mordor.,the captains of the west came at last to challenge the black gate and the might of mordor,tt,rk15
Samwise the Stouthearted,W,"“You’ve hurt my master, you brute, and you’ll pay for it.”",you’ve hurt my master you brute and you’ll pay for it,tt,tt21
Second Breakfast,W,The Hobbits of the Shire were fond of six meals a day—when they could get them.,the hobbits of the shire were fond of six meals a day,fs,fs13
Soldier of the Grey Host,W,"“The Dead awaken; for the hour is come for the oathbreakers.”
—Malbeth the Seer",the dead awaken for the hour is come for the oathbreakers ,rk,rk2
Stalwarts of Osgiliath,W,"“The Enemy must pay dearly for the crossing of the River.”
—Denethor",the enemy must pay dearly for the crossing of the river ,rk,rk4
You Cannot Pass!,W,"It raised the whip, and the thongs whined and cracked. Fire came from its nostrils. But Gandalf stood firm.",it raised the whip and the thongs whined and cracked fire came from its nostrils but gandalf stood firm,fs,fs21
Arwen's Gift,U,“Wear this now in memory of Elfstone and Evenstar with whom your life has been woven!”,wear this now in memory of elfstone and evenstar with whom your life has been woven,rk,rk16
Borne Upon a Wind,U,"“I looked on Aragorn and thought how great and terrible a Lord he might have become, had he taken the Ring for himself. Not for naught does Mordor fear him.”
—Legolas",i looked on aragorn and thought how great and terrible a lord he might have become had he taken the ring for himself not for naught does mordor fear him ,rk,rk9
Captain of Umbar,U,"“There is a great fleet drawing near to the mouths of Anduin, manned by the Corsairs of Umbar in the South. They have long ceased to fear the might of Gondor.”
—Beregond",there is a great fleet drawing near to the mouths of anduin manned by the corsairs of umbar in the south they have long ceased to fear the might of gondor ,rk,rk1
Council's Deliberation,U,"“I will take the Ring to Mordor, though I do not know the way.”
—Frodo",i will take the ring to mordor though i do not know the way ,fs,fs18
Deceive the Messenger,U,"“Tell Gandalf that he must seek my aid at once.”
—Saruman",tell gandalf that he must seek my aid at once ,fs,fs17
Dreadful as the Storm,U,"“I shall not be dark, but beautiful and terrible as the Morning and the Night! All shall love me and despair!”",i shall not be dark but beautiful and terrible as the morning and the night all shall love me and despair,fs,fs23
"Elrond, Lord of Rivendell",U,"“This is the hour of the Shire-folk, when they arise from their quiet fields to shake the towers and counsels of the Great. Who of all the Wise could have foreseen it?”",this is the hour of the shirefolk when they arise from their quiet fields to shake the towers and counsels of the great who of all the wise could have foreseen it,fs,fs18
